College Name,College Link,Stream,City,Ownership,Course,Duration,Facilities
"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune",https://www.careers360.com/colleges/abmsps-anantrao-pawar-college-of-engineering-and-research-pune,Engineering,Pune,Private,BE Electronics and Communication Advanced Communication Technology,4 Years,"Boys Hostel, Girls Hostel"
"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune",https://www.careers360.com/colleges/abmsps-anantrao-pawar-college-of-engineering-and-research-pune,Engineering,Pune,Private,BE Artificial Intelligence and Data Science,4 Years,"Boys Hostel, Girls Hostel"
"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune",https://www.careers360.com/colleges/abmsps-anantrao-pawar-college-of-engineering-and-research-pune,Engineering,Pune,Private,BE Mechanical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune",https://www.careers360.com/colleges/abmsps-anantrao-pawar-college-of-engineering-and-research-pune,Engineering,Pune,Private,B.Voc Electronics Manufacturing Services,3 Years,"Boys Hostel, Girls Hostel"
"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune",https://www.careers360.com/colleges/abmsps-anantrao-pawar-college-of-engineering-and-research-pune,Engineering,Pune,Private,BE Electronics Engineering VLSI Design Technology,4 Years,"Boys Hostel, Girls Hostel"
"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune",https://www.careers360.com/colleges/abmsps-anantrao-pawar-college-of-engineering-and-research-pune,Engineering,Pune,Private,BE Civil Engineering,4 Years,"Boys Hostel, Girls Hostel"
"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune",https://www.careers360.com/colleges/abmsps-anantrao-pawar-college-of-engineering-and-research-pune,Engineering,Pune,Private,BE Electronics and Telecommunication Engineering,4 Years,"Boys Hostel, Girls Hostel"
"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune",https://www.careers360.com/colleges/abmsps-anantrao-pawar-college-of-engineering-and-research-pune,Engineering,Pune,Private,BE Information Technology,4 Years,"Boys Hostel, Girls Hostel"
"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune",https://www.careers360.com/colleges/abmsps-anantrao-pawar-college-of-engineering-and-research-pune,Engineering,Pune,Private,BE Computer Engineering,4 Years,"Boys Hostel, Girls Hostel"
"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune",https://www.careers360.com/colleges/abmsps-anantrao-pawar-college-of-engineering-and-research-pune,Engineering,Pune,Private,B.Voc Automobile Servicing,3 Years,"Boys Hostel, Girls Hostel"
"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune",https://www.careers360.com/colleges/abmsps-anantrao-pawar-college-of-engineering-and-research-pune,Engineering,Pune,Private,ME Mechanical Engineering Design,2 Years,"Boys Hostel, Girls Hostel"
"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune",https://www.careers360.com/colleges/abmsps-anantrao-pawar-college-of-engineering-and-research-pune,Engineering,Pune,Private,ME Civil Environmental Engineering,2 Years,"Boys Hostel, Girls Hostel"
"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune",https://www.careers360.com/colleges/abmsps-anantrao-pawar-college-of-engineering-and-research-pune,Engineering,Pune,Private,ME VLSI Design,2 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,BE Mechanical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,BE Civil Engineering,4 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,BE Artificial Intelligence and Machine Learning,4 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,BE Computer Engineering,4 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,BE Robotics and Automation,4 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,BE Mechanical Engineering Sandwich,4 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,BE Chemical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,BE VLSI Design and Technology,4 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,BE Electronics and Telecommunication Engineering,4 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,BE Electrical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,ME Construction Management,2 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,ME Structural Engineering,2 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,ME Mechanical Engineering Design,2 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,ME Artificial Intelligence and Data Science,2 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,ME Power Electronics and Drives,2 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,ME Chemical Engineering,2 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,Ph.D Civil Engineering,6 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,Ph.D Electrical Engineering,6 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,Ph.D Mechanical Engineering,6 Years,"Boys Hostel, Girls Hostel"
"AISSMS COE Pune - AISSMS College of Engineering, Pune",https://www.careers360.com/colleges/aissms-college-of-engineering-pune,Engineering,Pune,Private,Ph.D Computer Engineering,6 Years,"Boys Hostel, Girls Hostel"
"Ajeenkya DY Patil School of Engineering, Pune",https://www.careers360.com/colleges/ajeenkya-dy-patil-school-of-engineering-pune,Engineering,Pune,Private,BE Artificial Intelligence and Data Science,4 Years,"Boys Hostel, Girls Hostel"
"Ajeenkya DY Patil School of Engineering, Pune",https://www.careers360.com/colleges/ajeenkya-dy-patil-school-of-engineering-pune,Engineering,Pune,Private,BE Mechanical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Ajeenkya DY Patil School of Engineering, Pune",https://www.careers360.com/colleges/ajeenkya-dy-patil-school-of-engineering-pune,Engineering,Pune,Private,BE Computer Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Ajeenkya DY Patil School of Engineering, Pune",https://www.careers360.com/colleges/ajeenkya-dy-patil-school-of-engineering-pune,Engineering,Pune,Private,BE Electronics and Telecommunication Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Ajeenkya DY Patil School of Engineering, Pune",https://www.careers360.com/colleges/ajeenkya-dy-patil-school-of-engineering-pune,Engineering,Pune,Private,Diploma in Artificial Intelligence and Machine Learning,3 Years,"Boys Hostel, Girls Hostel"
"Ajeenkya DY Patil School of Engineering, Pune",https://www.careers360.com/colleges/ajeenkya-dy-patil-school-of-engineering-pune,Engineering,Pune,Private,BE Civil Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Ajeenkya DY Patil School of Engineering, Pune",https://www.careers360.com/colleges/ajeenkya-dy-patil-school-of-engineering-pune,Engineering,Pune,Private,Diploma in Computer Engineering,3 Years,"Boys Hostel, Girls Hostel"
"Ajeenkya DY Patil School of Engineering, Pune",https://www.careers360.com/colleges/ajeenkya-dy-patil-school-of-engineering-pune,Engineering,Pune,Private,Diploma in Civil Engineering,3 Years,"Boys Hostel, Girls Hostel"
"Ajeenkya DY Patil School of Engineering, Pune",https://www.careers360.com/colleges/ajeenkya-dy-patil-school-of-engineering-pune,Engineering,Pune,Private,Diploma in Mechanical Engineering,3 Years,"Boys Hostel, Girls Hostel"
"Ajeenkya DY Patil School of Engineering, Pune",https://www.careers360.com/colleges/ajeenkya-dy-patil-school-of-engineering-pune,Engineering,Pune,Private,ME Computer Engineering,2 Years,"Boys Hostel, Girls Hostel"
"Ajeenkya DY Patil School of Engineering, Pune",https://www.careers360.com/colleges/ajeenkya-dy-patil-school-of-engineering-pune,Engineering,Pune,Private,ME VLSI and Embedded System,2 Years,"Boys Hostel, Girls Hostel"
"Ajeenkya DY Patil School of Engineering, Pune",https://www.careers360.com/colleges/ajeenkya-dy-patil-school-of-engineering-pune,Engineering,Pune,Private,ME Construction Management,2 Years,"Boys Hostel, Girls Hostel"
"Ajeenkya DY Patil School of Engineering, Pune",https://www.careers360.com/colleges/ajeenkya-dy-patil-school-of-engineering-pune,Engineering,Pune,Private,ME Structural Engineering,2 Years,"Boys Hostel, Girls Hostel"
"Ajeenkya DY Patil School of Engineering, Pune",https://www.careers360.com/colleges/ajeenkya-dy-patil-school-of-engineering-pune,Engineering,Pune,Private,ME Design Engineering,2 Years,"Boys Hostel, Girls Hostel"
"Ajeenkya DY Patil School of Engineering, Pune",https://www.careers360.com/colleges/ajeenkya-dy-patil-school-of-engineering-pune,Engineering,Pune,Private,BE Automobile Engineering,4 Years,"Boys Hostel, Girls Hostel"
"ADYPU, Pune - Ajeenkya DY Patil University, Pune",https://www.careers360.com/university/ajeenkya-dy-patil-university-pune,Engineering,Pune,Private,B.Tech Computer Science and Engineering,4 Years,"Boys Hostel, Girls Hostel"
"ADYPU, Pune - Ajeenkya DY Patil University, Pune",https://www.careers360.com/university/ajeenkya-dy-patil-university-pune,Engineering,Pune,Private,B.Tech Artificial Intelligence and Data Science,4 Years,"Boys Hostel, Girls Hostel"
"ADYPU, Pune - Ajeenkya DY Patil University, Pune",https://www.careers360.com/university/ajeenkya-dy-patil-university-pune,Engineering,Pune,Private,B.Tech Aerospace Engineering,4 Years,"Boys Hostel, Girls Hostel"
"ADYPU, Pune - Ajeenkya DY Patil University, Pune",https://www.careers360.com/university/ajeenkya-dy-patil-university-pune,Engineering,Pune,Private,B.Tech Aeronautical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Al-Ameen Educational and Medical Foundation's College of Engineering and Management Studies, Pune",https://www.careers360.com/colleges/al-ameen-educational-and-medical-foundations-college-of-engineering-and-management-studies-pune,Engineering,Pune,Private,BE Computer Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Al-Ameen Educational and Medical Foundation's College of Engineering and Management Studies, Pune",https://www.careers360.com/colleges/al-ameen-educational-and-medical-foundations-college-of-engineering-and-management-studies-pune,Engineering,Pune,Private,BE Mechanical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Al-Ameen Educational and Medical Foundation's College of Engineering and Management Studies, Pune",https://www.careers360.com/colleges/al-ameen-educational-and-medical-foundations-college-of-engineering-and-management-studies-pune,Engineering,Pune,Private,BE Electronics and Telecommunications Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Al-Ameen Educational and Medical Foundation's College of Engineering and Management Studies, Pune",https://www.careers360.com/colleges/al-ameen-educational-and-medical-foundations-college-of-engineering-and-management-studies-pune,Engineering,Pune,Private,ME Mechanical Engineering Design,2 Years,"Boys Hostel, Girls Hostel"
"Al-Ameen Educational and Medical Foundation's College of Engineering and Management Studies, Pune",https://www.careers360.com/colleges/al-ameen-educational-and-medical-foundations-college-of-engineering-and-management-studies-pune,Engineering,Pune,Private,ME Computer Engineering,2 Years,"Boys Hostel, Girls Hostel"
"Alard School Of Engineering and Technology, Pune",https://www.careers360.com/colleges/alard-school-of-engineering-and-technology-pune,Engineering,Pune,Private,B.Tech Artificial Intelligence and Data Science,4 Years,"Boys Hostel, Girls Hostel"
"Alard School Of Engineering and Technology, Pune",https://www.careers360.com/colleges/alard-school-of-engineering-and-technology-pune,Engineering,Pune,Private,B.Tech Artificial Intelligence and Machine Learning,4 Years,"Boys Hostel, Girls Hostel"
"Alard School Of Engineering and Technology, Pune",https://www.careers360.com/colleges/alard-school-of-engineering-and-technology-pune,Engineering,Pune,Private,B.Tech Computer Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Alard School Of Engineering and Technology, Pune",https://www.careers360.com/colleges/alard-school-of-engineering-and-technology-pune,Engineering,Pune,Private,B.Tech Electronics and Telecommunication Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Alard School Of Engineering and Technology, Pune",https://www.careers360.com/colleges/alard-school-of-engineering-and-technology-pune,Engineering,Pune,Private,B.Tech Mechanical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Alard School Of Engineering and Technology, Pune",https://www.careers360.com/colleges/alard-school-of-engineering-and-technology-pune,Engineering,Pune,Private,B.Tech Civil Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Alard School Of Engineering and Technology, Pune",https://www.careers360.com/colleges/alard-school-of-engineering-and-technology-pune,Engineering,Pune,Private,B.Tech Construction Management,4 Years,"Boys Hostel, Girls Hostel"
"Alard School Of Engineering and Technology, Pune",https://www.careers360.com/colleges/alard-school-of-engineering-and-technology-pune,Engineering,Pune,Private,B.Tech Electrical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Alard School Of Engineering and Technology, Pune",https://www.careers360.com/colleges/alard-school-of-engineering-and-technology-pune,Engineering,Pune,Private,B.Tech Cyber Security and Forensics,4 Years,"Boys Hostel, Girls Hostel"
"Alard School Of Engineering and Technology, Pune",https://www.careers360.com/colleges/alard-school-of-engineering-and-technology-pune,Engineering,Pune,Private,B.Tech Electric Vehicle,4 Years,"Boys Hostel, Girls Hostel"
"Alard School Of Engineering and Technology, Pune",https://www.careers360.com/colleges/alard-school-of-engineering-and-technology-pune,Engineering,Pune,Private,B.Tech Smart Manufacturing,4 Years,"Boys Hostel, Girls Hostel"
"Alard School Of Engineering and Technology, Pune",https://www.careers360.com/colleges/alard-school-of-engineering-and-technology-pune,Engineering,Pune,Private,B.Tech Semiconductor,4 Years,"Boys Hostel, Girls Hostel"
"Alard School of Interdisciplinary Research, Pune",https://www.careers360.com/colleges/alard-school-of-interdisciplinary-research-pune,Engineering,Pune,Private,Ph.D Computer Science Engineering,3 Years,
"Alard School of Interdisciplinary Research, Pune",https://www.careers360.com/colleges/alard-school-of-interdisciplinary-research-pune,Engineering,Pune,Private,Ph.D Electronics and Communication Engineering,3 Years,
"Alard School of Interdisciplinary Research, Pune",https://www.careers360.com/colleges/alard-school-of-interdisciplinary-research-pune,Engineering,Pune,Private,Ph.D Civil Engineering,3 Years,
"Alard School of Interdisciplinary Research, Pune",https://www.careers360.com/colleges/alard-school-of-interdisciplinary-research-pune,Engineering,Pune,Private,Ph.D Robotics Automation Engineering,3 Years,
"Alard School of Interdisciplinary Research, Pune",https://www.careers360.com/colleges/alard-school-of-interdisciplinary-research-pune,Engineering,Pune,Private,Ph.D Electronics Engineering Semiconductor,3 Years,
"Alard School of Interdisciplinary Research, Pune",https://www.careers360.com/colleges/alard-school-of-interdisciplinary-research-pune,Engineering,Pune,Private,Ph.D Mechanical Smart Manufacturing,3 Years,
"Alard School of Interdisciplinary Research, Pune",https://www.careers360.com/colleges/alard-school-of-interdisciplinary-research-pune,Engineering,Pune,Private,Ph.D Electrical Engineering Electrical Vehicle,3 Years,
"Alard School of Interdisciplinary Research, Pune",https://www.careers360.com/colleges/alard-school-of-interdisciplinary-research-pune,Engineering,Pune,Private,Ph.D Cyber Security and Forensics,3 Years,
"Alard School of Interdisciplinary Research, Pune",https://www.careers360.com/colleges/alard-school-of-interdisciplinary-research-pune,Engineering,Pune,Private,Ph.D Artificial Intelligence and Data Science,3 Years,
"Alard School of Interdisciplinary Research, Pune",https://www.careers360.com/colleges/alard-school-of-interdisciplinary-research-pune,Engineering,Pune,Private,Ph.D Artificial Intelligence and Machine Learning,3 Years,
"AISSMS Institute of Information Technology - All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune",https://www.careers360.com/colleges/all-india-shri-shivaji-memorial-societys-institute-of-information-technology-pune,Engineering,Pune,Private,B.Tech Artificial Intelligence and Data Science,4 Years,"Boys Hostel, Girls Hostel"
"AISSMS Institute of Information Technology - All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune",https://www.careers360.com/colleges/all-india-shri-shivaji-memorial-societys-institute-of-information-technology-pune,Engineering,Pune,Private,B.Tech Computer Engineering,4 Years,"Boys Hostel, Girls Hostel"
"AISSMS Institute of Information Technology - All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune",https://www.careers360.com/colleges/all-india-shri-shivaji-memorial-societys-institute-of-information-technology-pune,Engineering,Pune,Private,B.Tech Information Technology,4 Years,"Boys Hostel, Girls Hostel"
"AISSMS Institute of Information Technology - All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune",https://www.careers360.com/colleges/all-india-shri-shivaji-memorial-societys-institute-of-information-technology-pune,Engineering,Pune,Private,B.Tech Electronics and Telecommunication Engineering,4 Years,"Boys Hostel, Girls Hostel"
"AISSMS Institute of Information Technology - All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune",https://www.careers360.com/colleges/all-india-shri-shivaji-memorial-societys-institute-of-information-technology-pune,Engineering,Pune,Private,B.Tech Electrical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"AISSMS Institute of Information Technology - All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune",https://www.careers360.com/colleges/all-india-shri-shivaji-memorial-societys-institute-of-information-technology-pune,Engineering,Pune,Private,B.Tech Instrumentation Engineering,4 Years,"Boys Hostel, Girls Hostel"
"AISSMS Institute of Information Technology - All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune",https://www.careers360.com/colleges/all-india-shri-shivaji-memorial-societys-institute-of-information-technology-pune,Engineering,Pune,Private,ME VLSI and Embedded Systems,2 Years,"Boys Hostel, Girls Hostel"
