College Name,College Link,Stream,City,Ownership,Course,Duration,Facilities
"College of Architecture and Centre For Design, Nashik",https://www.careers360.com/colleges/college-of-architecture-and-centre-for-design-nashik,Design,Nagpur,Private,B.Arch,5 Years,Girls Hostel
"College of Architecture and Centre For Design, Nashik",https://www.careers360.com/colleges/college-of-architecture-and-centre-for-design-nashik,Design,Nagpur,Private,M.Arch Environmental Architecture,2 Years,Girls Hostel
"College of Architecture and Centre For Design, Nashik",https://www.careers360.com/colleges/college-of-architecture-and-centre-for-design-nashik,Design,Nagpur,Private,B.Des,4 Years,Girls Hostel
"Dhanvantari Institute of Design and Technology, Nashik",https://www.careers360.com/colleges/dhanvantari-institute-of-design-and-technology-nashik,Design,Nagpur,Private,M.Sc Fashion Design,2 Years,N/A
"Dhanvantari Institute of Design and Technology, Nashik",https://www.careers360.com/colleges/dhanvantari-institute-of-design-and-technology-nashik,Design,Nagpur,Private,Diploma in Interior Designing,2 Years,N/A
"Dhanvantari Institute of Design and Technology, Nashik",https://www.careers360.com/colleges/dhanvantari-institute-of-design-and-technology-nashik,Design,Nagpur,Private,B.Sc Computer Science,3 Years,N/A
"Dhanvantari Institute of Design and Technology, Nashik",https://www.careers360.com/colleges/dhanvantari-institute-of-design-and-technology-nashik,Design,Nagpur,Private,B.Des Interior Design,4 Years,N/A
"Dhanvantari Institute of Design and Technology, Nashik",https://www.careers360.com/colleges/dhanvantari-institute-of-design-and-technology-nashik,Design,Nagpur,Private,B.Des Fashion Design and Technology,4 Years,N/A
"Dhanvantari Institute of Design and Technology, Nashik",https://www.careers360.com/colleges/dhanvantari-institute-of-design-and-technology-nashik,Design,Nagpur,Private,M.Sc Interior Design,2 Years,N/A
"Dhanvantari Institute of Design and Technology, Nashik",https://www.careers360.com/colleges/dhanvantari-institute-of-design-and-technology-nashik,Design,Nagpur,Private,B.Sc Fashion Design,3 Years,N/A
"Dhanvantari Institute of Design and Technology, Nashik",https://www.careers360.com/colleges/dhanvantari-institute-of-design-and-technology-nashik,Design,Nagpur,Private,Diploma in Fashion Designing,2 Years,N/A
"Dhanvantari Institute of Design and Technology, Nashik",https://www.careers360.com/colleges/dhanvantari-institute-of-design-and-technology-nashik,Design,Nagpur,Private,B.Sc Interior Design,3 Years,N/A
"Government Polytechnic, Nashik",https://www.careers360.com/colleges/government-polytechnic-nashik,Design,Nagpur,Government,Diploma in Civil Engineering,3 Years,"Boys Hostel, Girls Hostel"
"Government Polytechnic, Nashik",https://www.careers360.com/colleges/government-polytechnic-nashik,Design,Nagpur,Government,Diploma in Mechanical Engineering,3 Years,"Boys Hostel, Girls Hostel"
"Government Polytechnic, Nashik",https://www.careers360.com/colleges/government-polytechnic-nashik,Design,Nagpur,Government,Diploma in Electronics and Telecommunication Engineering,3 Years,"Boys Hostel, Girls Hostel"
"Government Polytechnic, Nashik",https://www.careers360.com/colleges/government-polytechnic-nashik,Design,Nagpur,Government,Diploma in Electrical Engineering,3 Years,"Boys Hostel, Girls Hostel"
"Government Polytechnic, Nashik",https://www.careers360.com/colleges/government-polytechnic-nashik,Design,Nagpur,Government,Diploma in Interior Designing,2 Years,"Boys Hostel, Girls Hostel"
"Government Polytechnic, Nashik",https://www.careers360.com/colleges/government-polytechnic-nashik,Design,Nagpur,Government,Diploma in Polymer Technology,3 Years,"Boys Hostel, Girls Hostel"
"Government Polytechnic, Nashik",https://www.careers360.com/colleges/government-polytechnic-nashik,Design,Nagpur,Government,Diploma in Dress Designing and Garment Manufacturing,3 Years,"Boys Hostel, Girls Hostel"
"Government Polytechnic, Nashik",https://www.careers360.com/colleges/government-polytechnic-nashik,Design,Nagpur,Government,Diploma in Information Technology,3 Years,"Boys Hostel, Girls Hostel"
"Government Polytechnic, Nashik",https://www.careers360.com/colleges/government-polytechnic-nashik,Design,Nagpur,Government,Diploma in Computer Technology,3 Years,"Boys Hostel, Girls Hostel"
"Government Polytechnic, Nashik",https://www.careers360.com/colleges/government-polytechnic-nashik,Design,Nagpur,Government,Diploma in Automobile Engineering,3 Years,"Boys Hostel, Girls Hostel"
"Government Polytechnic, Nashik",https://www.careers360.com/colleges/government-polytechnic-nashik,Design,Nagpur,Government,Diploma in Mechatronics,3 Years,"Boys Hostel, Girls Hostel"
"Institute of Design Environment and Architecture, Nashik",https://www.careers360.com/colleges/institute-of-design-environment-and-architecture-nashik,Design,Nagpur,Private,B.Arch,5 Years,N/A
"Institute of Design Environment and Architecture, Nashik",https://www.careers360.com/colleges/institute-of-design-environment-and-architecture-nashik,Design,Nagpur,Private,B.Des,4 Years,N/A
"Institute of Design Environment and Architecture, Nashik",https://www.careers360.com/colleges/institute-of-design-environment-and-architecture-nashik,Design,Nagpur,Private,Diploma in Interior Design,3 Years,N/A
"International Institute of Fashion Design, Nashik",https://www.careers360.com/colleges/international-institute-of-fashion-design-nashik,Design,Nagpur,Private,B.Sc Interior Design,3 Years,N/A
"International Institute of Fashion Design, Nashik",https://www.careers360.com/colleges/international-institute-of-fashion-design-nashik,Design,Nagpur,Private,B.Sc Fashion Design,3 Years,N/A
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts Commerce and Science College, Nashik",https://www.careers360.com/colleges/krantiveer-vasantrao-narayanrao-naik-shikshan-prasarak-sansthas-arts-commerce-and-science-college-nashik,Design,Nagpur,Private,B.Com,3 Years,"Boys Hostel, Girls Hostel"
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts Commerce and Science College, Nashik",https://www.careers360.com/colleges/krantiveer-vasantrao-narayanrao-naik-shikshan-prasarak-sansthas-arts-commerce-and-science-college-nashik,Design,Nagpur,Private,B.Sc,3 Years,"Boys Hostel, Girls Hostel"
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts Commerce and Science College, Nashik",https://www.careers360.com/colleges/krantiveer-vasantrao-narayanrao-naik-shikshan-prasarak-sansthas-arts-commerce-and-science-college-nashik,Design,Nagpur,Private,BA,3 Years,"Boys Hostel, Girls Hostel"
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts Commerce and Science College, Nashik",https://www.careers360.com/colleges/krantiveer-vasantrao-narayanrao-naik-shikshan-prasarak-sansthas-arts-commerce-and-science-college-nashik,Design,Nagpur,Private,BBA Computer Applications,3 Years,"Boys Hostel, Girls Hostel"
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts Commerce and Science College, Nashik",https://www.careers360.com/colleges/krantiveer-vasantrao-narayanrao-naik-shikshan-prasarak-sansthas-arts-commerce-and-science-college-nashik,Design,Nagpur,Private,BBA,3 Years,"Boys Hostel, Girls Hostel"
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts Commerce and Science College, Nashik",https://www.careers360.com/colleges/krantiveer-vasantrao-narayanrao-naik-shikshan-prasarak-sansthas-arts-commerce-and-science-college-nashik,Design,Nagpur,Private,B.Sc Computer Science,3 Years,"Boys Hostel, Girls Hostel"
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts Commerce and Science College, Nashik",https://www.careers360.com/colleges/krantiveer-vasantrao-narayanrao-naik-shikshan-prasarak-sansthas-arts-commerce-and-science-college-nashik,Design,Nagpur,Private,MA Marathi,2 Years,"Boys Hostel, Girls Hostel"
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts Commerce and Science College, Nashik",https://www.careers360.com/colleges/krantiveer-vasantrao-narayanrao-naik-shikshan-prasarak-sansthas-arts-commerce-and-science-college-nashik,Design,Nagpur,Private,MA English,2 Years,"Boys Hostel, Girls Hostel"
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts Commerce and Science College, Nashik",https://www.careers360.com/colleges/krantiveer-vasantrao-narayanrao-naik-shikshan-prasarak-sansthas-arts-commerce-and-science-college-nashik,Design,Nagpur,Private,MA Economics,2 Years,"Boys Hostel, Girls Hostel"
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts Commerce and Science College, Nashik",https://www.careers360.com/colleges/krantiveer-vasantrao-narayanrao-naik-shikshan-prasarak-sansthas-arts-commerce-and-science-college-nashik,Design,Nagpur,Private,MA Political Science,2 Years,"Boys Hostel, Girls Hostel"
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts Commerce and Science College, Nashik",https://www.careers360.com/colleges/krantiveer-vasantrao-narayanrao-naik-shikshan-prasarak-sansthas-arts-commerce-and-science-college-nashik,Design,Nagpur,Private,M.Com Accounting and Taxation,2 Years,"Boys Hostel, Girls Hostel"
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts Commerce and Science College, Nashik",https://www.careers360.com/colleges/krantiveer-vasantrao-narayanrao-naik-shikshan-prasarak-sansthas-arts-commerce-and-science-college-nashik,Design,Nagpur,Private,B.Voc Fashion Designing Self Finance,3 Years,"Boys Hostel, Girls Hostel"
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts Commerce and Science College, Nashik",https://www.careers360.com/colleges/krantiveer-vasantrao-narayanrao-naik-shikshan-prasarak-sansthas-arts-commerce-and-science-college-nashik,Design,Nagpur,Private,B.Voc Digital Media and Development Self Finance,3 Years,"Boys Hostel, Girls Hostel"
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts Commerce and Science College, Nashik",https://www.careers360.com/colleges/krantiveer-vasantrao-narayanrao-naik-shikshan-prasarak-sansthas-arts-commerce-and-science-college-nashik,Design,Nagpur,Private,M.Sc Physics,2 Years,"Boys Hostel, Girls Hostel"
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts Commerce and Science College, Nashik",https://www.careers360.com/colleges/krantiveer-vasantrao-narayanrao-naik-shikshan-prasarak-sansthas-arts-commerce-and-science-college-nashik,Design,Nagpur,Private,M.Sc Zoology,2 Years,"Boys Hostel, Girls Hostel"
"Krantiveer Vasantrao Narayanrao Naik Shikshan Prasarak Sanstha's Arts Commerce and Science College, Nashik",https://www.careers360.com/colleges/krantiveer-vasantrao-narayanrao-naik-shikshan-prasarak-sansthas-arts-commerce-and-science-college-nashik,Design,Nagpur,Private,M.Sc Chemistry,2 Years,"Boys Hostel, Girls Hostel"
"KTHM College Nashik - KRT Arts BH Commerce and AM Science College, Nashik",https://www.careers360.com/colleges/krt-arts-bh-commerce-and-am-science-college-nashik,Design,Nagpur,Private,M.Sc Statistics,2 Years,"Boys Hostel, Girls Hostel"
"KTHM College Nashik - KRT Arts BH Commerce and AM Science College, Nashik",https://www.careers360.com/colleges/krt-arts-bh-commerce-and-am-science-college-nashik,Design,Nagpur,Private,MJMC,2 Years,"Boys Hostel, Girls Hostel"
"KTHM College Nashik - KRT Arts BH Commerce and AM Science College, Nashik",https://www.careers360.com/colleges/krt-arts-bh-commerce-and-am-science-college-nashik,Design,Nagpur,Private,B.Sc,3 Years,"Boys Hostel, Girls Hostel"
"KTHM College Nashik - KRT Arts BH Commerce and AM Science College, Nashik",https://www.careers360.com/colleges/krt-arts-bh-commerce-and-am-science-college-nashik,Design,Nagpur,Private,B.Sc Animation,3 Years,"Boys Hostel, Girls Hostel"
"KTHM College Nashik - KRT Arts BH Commerce and AM Science College, Nashik",https://www.careers360.com/colleges/krt-arts-bh-commerce-and-am-science-college-nashik,Design,Nagpur,Private,Ph.D Zoology,6 Years,"Boys Hostel, Girls Hostel"
"KTHM College Nashik - KRT Arts BH Commerce and AM Science College, Nashik",https://www.careers360.com/colleges/krt-arts-bh-commerce-and-am-science-college-nashik,Design,Nagpur,Private,BCA,3 Years,"Boys Hostel, Girls Hostel"
"KTHM College Nashik - KRT Arts BH Commerce and AM Science College, Nashik",https://www.careers360.com/colleges/krt-arts-bh-commerce-and-am-science-college-nashik,Design,Nagpur,Private,BA Psychology,3 Years,"Boys Hostel, Girls Hostel"
"KTHM College Nashik - KRT Arts BH Commerce and AM Science College, Nashik",https://www.careers360.com/colleges/krt-arts-bh-commerce-and-am-science-college-nashik,Design,Nagpur,Private,M.Sc Biotechnology,2 Years,"Boys Hostel, Girls Hostel"
"KTHM College Nashik - KRT Arts BH Commerce and AM Science College, Nashik",https://www.careers360.com/colleges/krt-arts-bh-commerce-and-am-science-college-nashik,Design,Nagpur,Private,MA Psychology,2 Years,"Boys Hostel, Girls Hostel"
"KTHM College Nashik - KRT Arts BH Commerce and AM Science College, Nashik",https://www.careers360.com/colleges/krt-arts-bh-commerce-and-am-science-college-nashik,Design,Nagpur,Private,B.Sc Statistics,3 Years,"Boys Hostel, Girls Hostel"
"KTHM College Nashik - KRT Arts BH Commerce and AM Science College, Nashik",https://www.careers360.com/colleges/krt-arts-bh-commerce-and-am-science-college-nashik,Design,Nagpur,Private,M.Sc Zoology,2 Years,"Boys Hostel, Girls Hostel"
