College Name,College Link,Stream,City,Ownership,Course,Duration,Facilities
"Ashoka Business School, Nashik",https://www.careers360.com/colleges/ashoka-business-school-nashik,Management,Nashik,Private,MBA,2 Years,N/A
"Ashoka Center for Business and Computer Studies, Nashik",https://www.careers360.com/colleges/ashoka-center-for-business-and-computer-studies-nashik,Management,Nashik,Private,BBA,3 Years,"Boys Hostel, Girls Hostel"
"Ashoka Center for Business and Computer Studies, Nashik",https://www.careers360.com/colleges/ashoka-center-for-business-and-computer-studies-nashik,Management,Nashik,Private,BBA Computer Applications,3 Years,"Boys Hostel, Girls Hostel"
"Ashoka Center for Business and Computer Studies, Nashik",https://www.careers360.com/colleges/ashoka-center-for-business-and-computer-studies-nashik,Management,Nashik,Private,B.Sc Computer Science,3 Years,"Boys Hostel, Girls Hostel"
"Ashoka Center for Business and Computer Studies, Nashik",https://www.careers360.com/colleges/ashoka-center-for-business-and-computer-studies-nashik,Management,Nashik,Private,M.Sc Computer Applications,2 Years,"Boys Hostel, Girls Hostel"
"Bhonsala Military College, Nashik",https://www.careers360.com/colleges/bhonsala-military-college-nashik,Management,Nashik,Private,B.Sc,3 Years,"Boys Hostel, Girls Hostel"
"Bhonsala Military College, Nashik",https://www.careers360.com/colleges/bhonsala-military-college-nashik,Management,Nashik,Private,BBA Self Finance,3 Years,"Boys Hostel, Girls Hostel"
"Bhonsala Military College, Nashik",https://www.careers360.com/colleges/bhonsala-military-college-nashik,Management,Nashik,Private,B.Sc Computer Science Self Finance,3 Years,"Boys Hostel, Girls Hostel"
"Bhonsala Military College, Nashik",https://www.careers360.com/colleges/bhonsala-military-college-nashik,Management,Nashik,Private,M.Sc Defence and Strategic Studies Self Finance,2 Years,"Boys Hostel, Girls Hostel"
"Bhonsala Military College, Nashik",https://www.careers360.com/colleges/bhonsala-military-college-nashik,Management,Nashik,Private,M.Sc Computer Science Self Finance,2 Years,"Boys Hostel, Girls Hostel"
"Brahma Valley College of Engineering and Research Institute, Nashik",https://www.careers360.com/colleges/brahma-valley-college-of-engineering-and-research-institute-nashik,Management,Nashik,Private,B.Tech Mechanical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Brahma Valley College of Engineering and Research Institute, Nashik",https://www.careers360.com/colleges/brahma-valley-college-of-engineering-and-research-institute-nashik,Management,Nashik,Private,MBA,2 Years,"Boys Hostel, Girls Hostel"
"Brahma Valley College of Engineering and Research Institute, Nashik",https://www.careers360.com/colleges/brahma-valley-college-of-engineering-and-research-institute-nashik,Management,Nashik,Private,B.Tech Electrical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Brahma Valley College of Engineering and Research Institute, Nashik",https://www.careers360.com/colleges/brahma-valley-college-of-engineering-and-research-institute-nashik,Management,Nashik,Private,B.Tech Civil Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Brahma Valley College of Engineering and Research Institute, Nashik",https://www.careers360.com/colleges/brahma-valley-college-of-engineering-and-research-institute-nashik,Management,Nashik,Private,B.Tech Computer Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Brahma Valley Institute of Management, Nashik",https://www.careers360.com/colleges/brahma-valley-institute-of-management-nashik,Management,Nashik,Private,MBA,2 Years,"Boys Hostel, Girls Hostel"
"Brahma Valley Institute of Management, Nashik",https://www.careers360.com/colleges/brahma-valley-institute-of-management-nashik,Management,Nashik,Private,BBA,3 Years,"Boys Hostel, Girls Hostel"
"BYK Nasik - BYK Sinnar College of Commerce, Nasik",https://www.careers360.com/colleges/byk-sinnar-college-of-commerce-nasik,Management,Nashik,Private,BBA International Business,3 Years,N/A
"BYK Nasik - BYK Sinnar College of Commerce, Nasik",https://www.careers360.com/colleges/byk-sinnar-college-of-commerce-nasik,Management,Nashik,Private,BBA,3 Years,N/A
"BYK Nasik - BYK Sinnar College of Commerce, Nasik",https://www.careers360.com/colleges/byk-sinnar-college-of-commerce-nasik,Management,Nashik,Private,BBA Computer Applications,3 Years,N/A
