College Name,College Link,Stream,City,Ownership,Course,Duration,Facilities
"College of Pharmacy, Medha",https://www.careers360.com/colleges/college-of-pharmacy-medha,Pharmacy,Satara,Private,B.Pharma,4 Years,"Boys Hostel, Girls Hostel"
"College of Pharmacy, Medha",https://www.careers360.com/colleges/college-of-pharmacy-medha,Pharmacy,Satara,Private,D.Pharma,2 Years,"Boys Hostel, Girls Hostel"
"Gourishankar Education Society's GES College of Pharmacy D Pharm, Satara",https://www.careers360.com/colleges/gourishankar-education-societys-ges-college-of-pharmacy-d-pharm-satara,Pharmacy,Satara,Private,D.Pharma,2 Years,"Boys Hostel, Girls Hostel"
"Gourishankar Education Society's Satara College of Pharmacy, Dehgaon",https://www.careers360.com/colleges/gourishankar-education-societys-satara-college-of-pharmacy-dehgaon,Pharmacy,Satara,Private,B.Pharma,4 Years,Boys Hostel
"Gourishankar Education Society's Satara College of Pharmacy, Dehgaon",https://www.careers360.com/colleges/gourishankar-education-societys-satara-college-of-pharmacy-dehgaon,Pharmacy,Satara,Private,D.Pharma,2 Years,Boys Hostel
"Gourishankar Education Society's Satara College of Pharmacy, Dehgaon",https://www.careers360.com/colleges/gourishankar-education-societys-satara-college-of-pharmacy-dehgaon,Pharmacy,Satara,Private,M.Pharma Quality Assurance Techniques,2 Years,Boys Hostel
"Gourishankar Education Society's Satara College of Pharmacy, Dehgaon",https://www.careers360.com/colleges/gourishankar-education-societys-satara-college-of-pharmacy-dehgaon,Pharmacy,Satara,Private,M.Pharma Pharmaceutics,2 Years,Boys Hostel
"GCOPK Karad - Government College of Pharmacy, Karad",https://www.careers360.com/colleges/government-college-of-pharmacy-karad,Pharmacy,Satara,Government,B.Pharma,4 Years,"Boys Hostel, Girls Hostel"
"GCOPK Karad - Government College of Pharmacy, Karad",https://www.careers360.com/colleges/government-college-of-pharmacy-karad,Pharmacy,Satara,Government,D.Pharma,2 Years,"Boys Hostel, Girls Hostel"
"GCOPK Karad - Government College of Pharmacy, Karad",https://www.careers360.com/colleges/government-college-of-pharmacy-karad,Pharmacy,Satara,Government,Ph.D Pharmacy,6 Years,"Boys Hostel, Girls Hostel"
"GCOPK Karad - Government College of Pharmacy, Karad",https://www.careers360.com/colleges/government-college-of-pharmacy-karad,Pharmacy,Satara,Government,M.Pharma Pharmaceutics,2 Years,"Boys Hostel, Girls Hostel"
"GCOPK Karad - Government College of Pharmacy, Karad",https://www.careers360.com/colleges/government-college-of-pharmacy-karad,Pharmacy,Satara,Government,M.Pharma Pharmaceutical Chemistry,2 Years,"Boys Hostel, Girls Hostel"
"Krishna Foundation's Jaywant Institute of Pharmacy, Wathar",https://www.careers360.com/colleges/krishna-foundations-jaywant-institute-of-pharmacy-wathar,Pharmacy,Satara,Private,D.Pharma,2 Years,"Boys Hostel, Girls Hostel"
