College Name,College Link,Stream,City
"Bel-Air College of Nursing, Panchgani",https://www.careers360.com/colleges/bel-air-college-of-nursing-panchgani,Medical,Satara
"Government Medical College, Satara",https://www.careers360.com/colleges/government-medical-college-satara,Medical,Satara
"Krantisinh Nana Patil College of Verterinary Science, Satara",https://www.careers360.com/colleges/krantisinh-nana-patil-college-of-verterinary-science-satara,Medical,Satara
"Late Bhaiyasaheb Ghorpade Institute of Physiotherapy, Satara",https://www.careers360.com/colleges/late-bhaiyasaheb-ghorpade-institute-of-physiotherapy-satara,Medical,Satara
"Late Narayandas Bhawandas Chhabada Training College of Nursing, Satara",https://www.careers360.com/colleges/late-narayandas-bhawandas-chhabada-training-college-of-nursing-satara,Medical,Satara
"Mahalaxmi College of Physiotherapy and Rehabilitation Center, Satara",https://www.careers360.com/colleges/mahalaxmi-college-of-physiotherapy-and-rehabilitation-center-satara,Medical,Satara
"Rural Institute of Ayurved Research Center and Hospital, Satara",https://www.careers360.com/colleges/rural-institute-of-ayurved-research-center-and-hospital-satara,Medical,Satara
"Savitribai Phule Mahila Mahavidyalaya, Satara",https://www.careers360.com/colleges/savitribai-phule-mahila-mahavidyalaya-satara,Medical,Satara
"Sawkar Ayurvedic Medical College and Hospital, Satara",https://www.careers360.com/colleges/sawkar-ayurvedic-medical-college-and-hospital-satara,Medical,Satara
"Sawkar Homoeopathic Medical College, Satara",https://www.careers360.com/colleges/sawkar-homoeopathic-medical-college-satara,Medical,Satara
"S C Mutha Aryangla Vaidyak Mahavidyalaya, Satara",https://www.careers360.com/colleges/s-c-mutha-aryangla-vaidyak-mahavidyalaya-satara,Medical,Satara
"Adv VR Manohar Institute of Diploma In Medical Laboratory Technology, Nagpur",https://www.careers360.com/colleges/adv-vr-manohar-institute-of-diploma-in-medical-laboratory-technology-nagpur,Medical,Satara
